Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for UK
Areal series, starting in 1836
Last updated 01-Sep-2024 11:40
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1929   48.7   37.4   16.2   40.1   69.2   61.0   79.0  107.5   45.7  148.2  185.4  209.2   190.9   125.5   247.5   379.3  1047.6
1930  148.4   24.9   70.1   66.4   59.5   53.0  102.0  140.5  111.8  136.3  141.0  113.1   382.5   196.1   295.6   389.1  1167.1
1931  106.4   99.6   28.0   86.8   95.1  111.0  116.1   98.0   64.8   63.4  154.7   82.2   319.1   209.9   325.0   282.8  1106.0
1932  135.4    9.6   70.0   99.7  107.0   35.5  109.6   57.9  108.6  167.8   87.6   98.6   227.1   276.7   203.0   364.0  1087.3
1933   95.0  104.1   72.8   53.6   54.1   61.4   77.6   58.0   47.1  116.3   57.3   33.5   297.7   180.5   197.1   220.7   830.9
1934  113.8   23.1   80.6   96.0   64.2   48.9   66.0  103.8  100.3  130.2   58.0  177.0   170.5   240.8   218.7   288.5  1062.0
1935   64.2  121.0   44.0   98.7   33.1  101.5   39.0   73.5  150.5  171.0  143.5   93.6   362.2   175.9   214.0   465.0  1133.6
1936  124.8   73.4   65.5   47.3   37.2   79.8  142.6   53.4   98.4   94.2  106.3  130.8   291.7   150.0   275.9   298.9  1053.8
1937  151.7  135.2   80.9   69.1   67.2   56.4   84.8   61.6   74.9   82.9   46.2   90.7   417.6   217.1   202.7   204.0  1001.3
1938  145.4   58.6   59.7   14.4   81.7   94.3  109.0   84.0   80.0  171.5  160.4  117.8   294.7   155.9   287.2   412.0  1176.9
1939  143.8   94.7   79.1   66.2   32.9   63.5  143.5   68.2   47.1  103.5  171.1   70.7   356.4   178.2   275.2   321.7  1084.3
1940   65.3   69.6   92.1   71.5   43.3   27.8  130.7   40.0   73.1  122.6  187.9  106.1   205.5   206.9   198.5   383.6  1030.0
1941   73.6  105.1   81.2   48.6   63.9   31.0   81.3  131.8   33.0  107.5  105.4   74.4   284.8   193.7   244.1   245.9   936.8
1942  122.1   45.4   66.6   49.6   95.5   31.6   90.3  108.8  102.8  126.4   45.2  135.4   241.8   211.7   230.7   274.5  1019.9
1943  146.7   83.2   44.5   65.7   90.7   77.5   66.1  115.7   98.2  127.2   87.4   64.2   365.3   200.9   259.2   312.8  1067.0
1944  116.5   52.5   28.5   64.2   61.0   82.8   73.5   81.3  116.4  132.1  162.6  105.2   233.3   153.7   237.6   411.1  1076.6
1945   96.9  110.6   55.2   51.1   94.4   95.1   77.7   70.9   92.5  115.5   22.3  115.3   312.7   200.8   243.7   230.2   997.5
1946  113.1   97.1   50.5   49.4   59.1   94.3  100.4  131.8  146.5   31.4  161.4  112.2   325.5   159.1   326.6   339.3  1147.3
1947   98.6   43.4  138.8  117.6   70.4   80.1   82.3    9.9   86.1   40.2  124.4   81.9   254.2   326.9   172.3   250.8   973.8
1948  177.4   76.3   64.3   67.6   65.4  106.6   68.0  136.7  107.9  106.8   77.2  138.8   335.6   197.3   311.3   291.8  1193.1
1949   89.8   77.4   56.6   91.1   67.5   27.8   57.4   83.9   57.8  153.7  124.2  143.7   305.9   215.2   169.1   335.7  1030.8
1950   65.5  137.4   62.3   95.0   49.6   62.1  114.2  132.2  178.5   78.3  136.0   77.0   346.5   206.9   308.5   392.7  1187.9
1951  112.6  108.6  104.5   87.4   64.9   44.3   72.0  134.0   86.1   40.5  191.7  138.9   298.2   256.7   250.3   318.3  1185.4
1952  105.5   40.9   81.0   60.0   65.4   69.9   51.4  114.3   91.3  120.4   93.3  107.5   285.4   206.4   235.6   305.0  1001.0
1953   52.2   60.4   34.1   80.2   68.1   61.8  117.9   93.8  102.9   77.8  117.4   72.9   220.1   182.3   273.6   298.2   939.6
1954   85.8   92.3   84.7   28.9   93.0   94.2   96.7  117.3  118.9  166.7  180.6  138.5   250.9   206.6   308.2   466.3  1297.6
1955   85.7   73.0   52.3   49.2   97.8   82.1   29.3   30.7   79.4   95.0   64.0  143.6   297.2   199.3   142.1   238.4   882.2
1956  117.5   41.5   44.9   45.8   44.5   76.0  119.7  158.5  102.3   80.1   57.4  137.1   302.7   135.3   354.3   239.8  1025.5
1957  118.1   97.2   89.9   27.5   51.4   56.9  120.8  121.9  119.9  103.0   65.3  117.3   352.5   168.8   299.7   288.2  1089.3
1958  112.4  114.4   50.6   43.5   93.8   98.9  103.5  108.0  117.2  101.4   54.2  117.0   344.1   187.9   310.4   272.8  1114.9
1959  100.7   26.2   74.6   90.9   33.3   62.0   91.8   44.6   23.3  117.6  143.8  177.9   243.9   198.8   198.4   284.6   986.6
1960  123.4   98.1   50.4   72.2   48.5   60.7  111.5  116.4  100.8  147.5  149.2  125.9   399.3   171.1   288.6   397.5  1204.5
1961  118.1   95.4   43.3   99.9   47.0   52.4   84.8  109.1  104.1  145.0   80.7  102.3   339.3   190.1   246.3   329.7  1081.9
1962  151.5   71.6   50.9   71.7   74.3   42.9   64.9  142.7  123.0   54.3   78.5  104.5   325.4   196.8   250.5   255.8  1030.7
1963   32.6   34.3  120.7   82.5   76.9   87.5   64.0  113.4   88.8   92.1  168.6   39.6   171.4   280.1   264.8   349.5  1000.9
1964   43.8   38.0   80.9   77.9   75.0   77.7   68.9   87.5   74.4   79.7   86.7  128.3   121.4   233.8   234.0   240.8   918.8
1965  122.7   24.7   76.6   80.8   70.8   89.6  101.5   90.0  141.7   70.9  106.6  163.2   275.7   228.3   281.1   319.1  1139.1
1966   64.9  126.1   75.3   91.3   86.3  104.8   73.0  100.3   74.9  124.9  106.8  159.1   354.2   253.0   278.1   306.6  1187.8
