Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for UK
Areal series, starting in 1891
Last updated 01-Sep-2024 11:40
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1980   12.6   14.3   16.4    4.5    5.6   17.0   12.9   13.1   14.8   17.1   15.1   17.3    45.1    26.4    43.0    47.0   160.7
1981   15.7    9.3   19.5    7.3   16.6   10.7   11.5    6.6   16.0   19.2   14.9   12.9    42.2    43.5    28.8    50.2   160.3
1982   13.7   11.0   15.9    6.4    9.7   13.2    6.4   16.0   14.2   17.4   18.9   15.7    37.6    32.1    35.7    50.5   158.7
1983   18.0    8.7   17.1   15.5   17.8    8.4    5.8    5.9   15.6   16.6    7.5   17.1    42.5    50.5    20.1    39.7   154.2
1984   21.0   11.7   10.7    5.3    7.5    8.5    6.6    8.0   16.7   16.9   18.0   16.9    49.8    23.5    23.1    51.7   147.9
1985   12.8    5.1   14.3   14.5   10.4   15.0   15.0   20.7   11.7    7.4   13.6   18.0    34.8    39.2    50.6    32.8   158.6
1986   19.5    4.2   16.7   14.5   17.5    7.3   11.5   13.9    5.6   15.1   18.0   20.4    41.8    48.7    32.7    38.7   164.2
1987    7.7   10.4   15.1    9.8   11.0   16.5   12.2   11.3   13.7   17.4   12.5   11.0    38.5    35.8    40.1    43.6   148.6
1988   21.1   13.7   18.5    9.1   10.8    6.2   20.6   15.0   12.1   14.5    9.1   11.6    45.8    38.4    41.9    35.6   162.4
1989   12.1   15.9   17.1   13.7    6.1    9.4    6.4   13.0    8.5   16.6    8.8   11.8    39.6    36.9    28.8    34.0   139.5
1990   20.8   19.5   10.7   11.5    6.4   14.8    7.8   11.1   11.0   15.7   12.2   14.9    52.1    28.6    33.7    38.9   156.3
1991   13.5   10.4   13.5   11.4    5.2   18.1   11.4    7.7   10.3   12.1   16.2    8.9    38.7    30.0    37.2    38.6   138.6
1992    7.4   12.8   18.7   15.1    8.9    6.5   13.0   18.2   15.9   13.0   20.2   12.0    29.1    42.7    37.7    49.0   161.6
1993   20.3    6.0    8.8   14.1   12.2   10.6   15.2   10.4   12.7   11.7    9.5   21.9    38.2    35.1    36.3    33.9   153.3
1994   20.1   12.5   19.3   14.8    8.9   10.7    9.2   11.6   14.5   13.5   14.3   18.7    54.4    43.0    31.4    42.3   168.1
1995   19.9   18.7   16.3    7.7   11.1    6.4    9.3    4.6   15.6   12.7   12.7   10.9    57.3    35.1    20.3    41.0   145.9
1996   11.3   14.2    8.2   11.5   11.3    7.7    9.8   11.5    6.4   17.8   17.7    9.5    36.4    31.0    29.0    41.9   136.9
1997    5.7   17.9   10.5    6.3   12.7   15.4   11.5   11.7    8.8   10.0   17.4   16.5    33.2    29.5    38.6    36.1   144.4
1998   15.7    9.8   13.5   19.1    7.6   17.2   14.1   10.8   12.7   19.3   16.1   18.0    41.9    40.3    42.0    48.2   173.9
1999   19.5   13.7   13.8   13.7   11.7   13.5    7.7   12.4   16.1   12.7   12.8   21.5    51.2    39.3    33.5    41.6   169.1
2000   12.0   18.9    9.8   16.9   12.7   10.2    9.4   13.7   15.9   20.7   21.0   17.3    52.4    39.4    33.3    57.6   178.5
2001   11.7   13.4   14.1   15.8    7.4    9.5   11.6   14.7   13.6   19.0   14.4   11.1    42.4    37.4    35.8    47.0   156.4
2002   16.2   19.6   11.8   10.4   15.9   14.2   14.4   10.3    5.3   16.4   20.3   14.9    46.9    38.1    38.9    42.0   169.7
2003   15.6    7.7    7.7    8.3   16.8   11.4   12.5    5.0    9.1   10.7   15.6   14.2    38.2    32.7    28.8    35.4   134.5
2004   19.9   10.5   12.4   14.9    9.0   12.9   12.4   16.7   13.3   18.8   13.0   13.4    44.6    36.2    42.0    45.1   167.2
2005   14.9   11.9   11.5   13.7   12.7   10.7    8.8   12.0   12.7   15.2   13.8   11.6    40.2    37.9    31.6    41.8   149.6
2006    8.7   10.2   16.1   12.1   16.5    6.5    8.3   14.4   12.9   17.4   17.2   16.3    30.5    44.7    29.3    47.4   156.6
2007   18.8   16.4   11.6    4.0   15.5   15.0   18.0   11.3   10.0    8.1   14.1   13.6    51.5    31.1    44.2    32.1   156.2
2008   20.5    9.8   18.3   15.2    7.1   11.8   13.7   18.3   13.1   16.5   15.3   11.3    43.8    40.6    43.8    44.9   170.8
2009   15.0   10.4   12.0   10.4   13.6    9.1   19.4   15.1    7.4   14.1   22.1   17.2    36.7    35.9    43.6    43.7   165.7
2010   13.8   13.9   11.6    8.5    8.7    6.7   14.0   14.2   13.7   13.1   16.5    9.6    44.9    28.8    34.9    43.4   144.4
2011   13.1   16.0    7.6    5.3   14.2   13.8   10.7   14.4   14.7   15.8   12.0   20.9    38.7    27.0    38.9    42.5   158.4
2012   14.5    8.9    6.3   18.8   10.0   16.8   17.0   16.1   13.5   16.3   16.3   19.8    44.2    35.0    49.8    46.2   174.2
2013   15.7    8.6   10.5   10.3   13.2    9.2    8.5   11.2   11.0   19.2   13.9   18.8    44.1    34.1    28.9    44.1   150.2
2014   23.5   20.2   12.4   11.2   15.5    9.5   10.5   17.1    4.8   18.2   16.3   15.6    62.5    39.0    37.1    39.2   174.6
2015   18.7   11.1   12.8    8.7   15.5    9.2   16.2   14.5    8.5   10.1   20.7   22.2    45.3    36.9    39.8    39.3   168.0
2016   20.7   13.8   12.0   15.2    9.4   14.8   13.1   11.4   13.5    8.3   12.8   11.1    56.6    36.6    39.3    34.6   156.1
2017   12.3   13.9   14.5    7.2    9.8   13.0   14.9   14.8   18.0   13.8   15.4   17.0    37.3    31.6    42.7    47.2   164.7
2018   18.4   12.6   16.7   13.6    7.7    4.9    7.8   13.4   12.7   11.9   14.7   15.9    48.0    38.0    26.1    39.3   150.3
2019   11.0   10.3   16.1    7.8   10.8   14.5   10.9   15.6   15.4   17.3   17.3   17.6    37.3    34.7    41.0    50.0   164.6
2020   15.0   21.4   11.9    5.9    5.4   15.4   14.5   13.7   10.1   21.1   15.0   20.7    53.9    23.1    43.5    46.1   169.9
2021   17.4   13.7   11.2    5.1   16.9    6.9   10.7   10.0   10.8   17.1   11.8   17.1    51.8    33.1    27.7    39.6   148.6
2022   10.8   18.1    8.5    7.8   14.4   10.4    7.5    8.0   13.2   19.2   18.6   15.4    46.0    30.7    25.9    51.0   152.0
2023   16.4    7.3   20.2   12.2    7.4    8.4   17.9   14.5   13.4   16.9   16.4   21.1    39.2    39.8    40.8    46.8   172.2
2024   12.5   17.4   17.8   16.0   11.4   10.1   12.4   13.5                                51.0    45.2    36.0                
